x,y,z
4475.0,45140.0,-3790.8764266967773
4289.132813215256,46620.0,-3717.5
4475.0,46620.0,-3733.3066940307617
4475.0,47177.879333496094,-3717.5
4475.0,48100.0,-3691.800537109375
3175.6352758407593,49580.0,-3532.5
4475.0,49580.0,-3653.855438232422
3762.3245751857758,51060.0,-3532.5
4475.0,51060.0,-3606.1135482788086
4409.822518825531,52540.0,-3532.5
4475.0,52540.0,-3540.13729095459
2827.1986627578735,52540.0,-3347.5
4475.0,52674.295501708984,-3532.5
3649.729188680649,54020.0,-3347.5
4475.0,54020.0,-3456.8850326538086
4371.854991912842,55500.0,-3347.5
4475.0,55500.0,-3362.609443664551
3108.2001852989197,55500.0,-3162.5
4475.0,55745.22888183594,-3347.5
3769.5295071601868,56980.0,-3162.5
4475.0,56980.0,-3272.349395751953
4239.8014879226685,58460.0,-3162.5
4475.0,58460.0,-3200.062599182129
3084.3437838554382,58460.0,-2977.5
4475.0,59741.39938354492,-3162.5
3329.5111989974976,59940.0,-2977.5
4475.0,59940.0,-3156.7822647094727
3354.248025417328,61420.0,-2977.5
4475.0,61420.0,-3141.5655517578125
3268.5186171531677,62900.0,-2977.5
4475.0,62900.0,-3137.898635864258
3270.398749113083,64380.0,-2977.5
4475.0,64380.0,-3123.78849029541
3543.8594722747803,65860.0,-2977.5
4475.0,65860.0,-3084.618263244629
4083.666248321533,67340.0,-2977.5
4475.0,67340.0,-3022.049217224121
4475.0,68296.16455078125,-2977.5
3071.6887950897217,68820.0,-2792.5
4475.0,68820.0,-2953.4688568115234
3528.787475824356,70300.0,-2792.5
4475.0,70300.0,-2899.5603942871094
3766.0396015644073,71780.0,-2792.5
4475.0,71780.0,-2868.052864074707
3881.5628385543823,73260.0,-2792.5
4475.0,73260.0,-2850.2786254882812
4069.6321547031403,74740.0,-2792.5
4475.0,74740.0,-2828.50154876709
4475.0,76100.42861938477,-2792.5
4475.0,76220.0,-2789.3920135498047
2873.8955414295197,77700.0,-2607.5
4475.0,77700.0,-2732.990951538086
3672.6938557624817,79180.0,-2607.5
4475.0,79180.0,-2668.043632507324
4475.0,80618.01254272461,-2607.5
4475.0,80660.0,-2605.7611083984375
4475.0,82140.0,-2550.340995788574
3207.784444093704,83620.0,-2422.5
4475.0,83620.0,-2494.4918060302734
4287.640827894211,85100.0,-2422.5
4475.0,85100.0,-2432.21492767334
4475.0,85324.0234375,-2422.5
4475.0,86580.0,-2368.964157104492
4475.0,88060.0,-2320.536308288574
4475.0,89540.0,-2307.210922241211
4475.0,91020.0,-2336.317596435547
4475.0,92500.0,-2390.934600830078
4475.0,93980.0,-2438.4351348876953
4475.0,93489.01153564453,-2422.5
4475.0,95460.0,-2451.1733627319336
4475.0,96940.0,-2424.4943618774414
4475.0,97006.95861816406,-2422.5
4475.0,98420.0,-2381.1660385131836
4475.0,99900.0,-2351.9125747680664
4475.0,101380.0,-2353.62606048584
4475.0,102860.0,-2375.1335525512695
4475.0,104340.0,-2387.2338104248047
4475.0,105820.0,-2366.568946838379
4475.0,107300.0,-2313.5059356689453
4049.3522930145264,108780.0,-2237.5
4475.0,108780.0,-2253.0455780029297
4475.0,109447.35046386719,-2237.5
4475.0,110260.0,-2218.9438247680664
4475.0,111740.0,-2228.42586517334
4475.0,113220.0,-2274.039306640625
4475.0,112038.4683227539,-2237.5
4475.0,114700.0,-2330.9047317504883
4475.0,116180.0,-2374.8936080932617
4475.0,117660.0,-2394.6509170532227
4475.0,119140.0,-2392.2952270507812
4475.0,120620.0,-2377.0601654052734
4475.0,122100.0,-2357.617607116699
4475.0,123580.0,-2339.1701126098633
2769.7228729724884,125060.0,-2237.5
4475.0,125060.0,-2325.3507232666016
2899.5608043670654,126540.0,-2237.5
4475.0,126540.0,-2320.0761795043945
2811.437647342682,128020.0,-2237.5
4475.0,128020.0,-2327.5497436523438
4475.0,129500.0,-2351.117935180664
4475.0,130980.0,-2390.9557723999023
4155.145831108093,132460.0,-2422.5
4475.0,132460.0,-2442.629928588867
4475.0,131890.40008544922,-2422.5
3289.030854701996,133940.0,-2422.5
4475.0,133940.0,-2498.112144470215
4475.0,135420.0,-2548.7065505981445
4475.0,136900.0,-2589.8767852783203
4157.103848457336,138380.0,-2607.5
4475.0,138380.0,-2621.3730239868164
4475.0,137737.26501464844,-2607.5
3258.5802280902863,139860.0,-2607.5
4475.0,139860.0,-2645.058364868164
4475.0,141340.0,-2661.858711242676
4475.0,142820.0,-2670.4741287231445
4475.0,144300.0,-2669.713363647461
4475.0,145780.0,-2663.700637817383
4475.0,147260.0,-2664.1861724853516
6217.97301530838,2220.0,-5937.5
6265.0,740.0,-5996.959648132324
5825.550575256348,740.0,-5937.5
6265.0,2220.0,-5943.518371582031
4774.893743991852,2220.0,-5752.5
6265.0,2390.245180130005,-5937.5
5182.090508937836,3700.0,-5752.5
6265.0,3700.0,-5891.319160461426
5532.2290778160095,5180.0,-5752.5
6265.0,5180.0,-5843.868026733398
5691.572768688202,6660.0,-5752.5
6265.0,6660.0,-5813.177013397217
5566.052675247192,8140.0,-5752.5
