time,X,Y,Z,litho
99.5,443000.0,7651000.0,-4407.33,1.0
99.5,444000.0,7651000.0,-4636.99,1.0
99.5,445000.0,7651000.0,-4811.24,1.0
99.5,446000.0,7651000.0,-4907.54,1.0
99.5,447000.0,7651000.0,-4954.79,1.0
99.5,448000.0,7651000.0,-4975.57,1.0
99.5,449000.0,7651000.0,-4982.31,1.0
99.5,450000.0,7651000.0,-5031.43,1.0
99.5,451000.0,7651000.0,-5162.17,1.0
99.5,452000.0,7651000.0,-5272.24,1.0
99.5,453000.0,7651000.0,-5237.21,1.0
99.5,454000.0,7651000.0,-5109.88,1.0
99.5,455000.0,7651000.0,-5029.7,1.0
99.5,456000.0,7651000.0,-5055.7,1.0
99.5,457000.0,7651000.0,-5169.43,1.0
99.5,458000.0,7651000.0,-5325.44,1.0
99.5,459000.0,7651000.0,-5452.84,1.0
99.5,460000.0,7651000.0,-5489.99,1.0
99.5,461000.0,7651000.0,-5469.35,1.0
99.5,462000.0,7651000.0,-5469.37,1.0
99.5,463000.0,7651000.0,-5464.34,1.0
99.5,464000.0,7651000.0,-5343.69,1.0
99.5,465000.0,7651000.0,-4888.32,1.0
99.5,466000.0,7651000.0,-3951.25,1.0
99.5,467000.0,7651000.0,-2974.08,1.0
99.5,468000.0,7651000.0,-2466.85,1.0
99.5,469000.0,7651000.0,-2291.42,1.0
99.5,470000.0,7651000.0,-2165.91,1.0
99.5,471000.0,7651000.0,-2077.29,1.0
99.5,472000.0,7651000.0,-2123.24,1.0
99.5,473000.0,7651000.0,-2353.1,1.0
99.5,474000.0,7651000.0,-2720.26,1.0
99.5,475000.0,7651000.0,-3155.45,1.0
99.5,476000.0,7651000.0,-3573.06,1.0
99.5,477000.0,7651000.0,-3835.39,1.0
99.5,478000.0,7651000.0,-3882.77,1.0
99.5,479000.0,7651000.0,-3790.33,1.0
99.5,480000.0,7651000.0,-3660.63,1.0
99.5,481000.0,7651000.0,-3593.75,1.0
99.5,482000.0,7651000.0,-3590.71,13.0
99.5,483000.0,7651000.0,-3603.36,13.0
99.5,484000.0,7651000.0,-3770.38,13.0
99.5,485000.0,7651000.0,-4303.21,13.0
99.5,486000.0,7651000.0,-5098.61,13.0
99.5,487000.0,7651000.0,-5787.99,13.0
99.5,488000.0,7651000.0,-6297.19,13.0
99.5,489000.0,7651000.0,-6800.83,13.0
99.5,490000.0,7651000.0,-7272.22,13.0
99.5,491000.0,7651000.0,-7543.66,13.0
99.5,492000.0,7651000.0,-7498.35,13.0
99.5,493000.0,7651000.0,-7317.35,13.0
99.5,494000.0,7651000.0,-7238.44,13.0
99.5,495000.0,7651000.0,-6909.45,13.0
99.5,496000.0,7651000.0,-5737.14,13.0
99.5,497000.0,7651000.0,-4409.32,14.0
99.5,498000.0,7651000.0,-4014.45,15.0
99.5,499000.0,7651000.0,-4197.19,21.0
99.5,500000.0,7651000.0,-4691.1,20.0
99.5,501000.0,7651000.0,-5459.53,20.0
99.5,502000.0,7651000.0,-5870.64,20.0
99.5,503000.0,7651000.0,-5646.91,20.0
99.5,504000.0,7651000.0,-4954.84,20.0
99.5,505000.0,7651000.0,-4112.17,20.0
99.5,506000.0,7651000.0,-3550.87,20.0
99.5,507000.0,7651000.0,-3531.33,20.0
99.5,508000.0,7651000.0,-3863.08,20.0
99.5,509000.0,7651000.0,-4181.09,20.0
99.5,510000.0,7651000.0,-4366.69,20.0
99.5,511000.0,7651000.0,-4451.5,20.0
99.5,512000.0,7651000.0,-4432.41,20.0
99.5,513000.0,7651000.0,-4299.03,20.0
99.5,514000.0,7651000.0,-3965.17,20.0
99.5,515000.0,7651000.0,-3729.64,20.0
99.5,516000.0,7651000.0,-4552.75,20.0
99.5,517000.0,7651000.0,-6100.03,20.0
99.5,518000.0,7651000.0,-5963.42,25.0
99.5,519000.0,7651000.0,-4430.21,25.0
99.5,520000.0,7651000.0,-4840.23,25.0
99.5,521000.0,7651000.0,-6716.38,25.0
99.5,522000.0,7651000.0,-7369.08,25.0
99.5,523000.0,7651000.0,-7166.46,25.0
99.5,524000.0,7651000.0,-7287.87,25.0
99.5,525000.0,7651000.0,-7547.47,25.0
99.5,526000.0,7651000.0,-7405.94,24.0
99.5,527000.0,7651000.0,-6946.67,24.0
99.5,528000.0,7651000.0,-6661.87,24.0
99.5,529000.0,7651000.0,-6613.67,21.0
99.5,530000.0,7651000.0,-6714.13,9.0
99.5,531000.0,7651000.0,-6996.39,9.0
99.5,532000.0,7651000.0,-7204.48,26.0
99.5,533000.0,7651000.0,-7156.46,26.0
99.5,534000.0,7651000.0,-6987.34,9.0
99.5,535000.0,7651000.0,-6354.2,9.0
99.5,536000.0,7651000.0,-4870.78,9.0
99.5,537000.0,7651000.0,-3597.7,9.0
99.5,538000.0,7651000.0,-3482.97,9.0
99.5,539000.0,7651000.0,-3769.99,26.0
99.5,540000.0,7651000.0,-3791.19,28.0
99.5,541000.0,7651000.0,-3679.21,30.0
99.5,542000.0,7651000.0,-3574.24,30.0
99.5,543000.0,7651000.0,-3498.23,30.0
99.5,544000.0,7651000.0,-3419.22,30.0
99.5,545000.0,7651000.0,-3263.39,28.0
99.5,546000.0,7651000.0,-3030.9,9.0
99.5,547000.0,7651000.0,-2867.29,26.0
99.5,548000.0,7651000.0,-2846.79,28.0
99.5,549000.0,7651000.0,-2904.31,30.0
99.5,550000.0,7651000.0,-3006.59,30.0
99.5,551000.0,7651000.0,-3652.74,30.0
99.5,552000.0,7651000.0,-5068.95,30.0
99.5,553000.0,7651000.0,-6240.15,30.0
99.5,554000.0,7651000.0,-6656.77,29.0
99.5,555000.0,7651000.0,-6817.92,36.0
99.5,556000.0,7651000.0,-6981.3,35.0
99.5,557000.0,7651000.0,-7165.83,24.0
99.5,558000.0,7651000.0,-7360.62,25.0
99.5,559000.0,7651000.0,-7490.68,25.0
99.5,560000.0,7651000.0,-7527.34,25.0
99.5,561000.0,7651000.0,-7517.68,25.0
99.5,562000.0,7651000.0,-7493.65,25.0
99.5,563000.0,7651000.0,-7450.45,44.0
99.5,564000.0,7651000.0,-7375.09,50.0
99.5,565000.0,7651000.0,-7273.84,50.0
99.5,566000.0,7651000.0,-7176.08,50.0
99.5,567000.0,7651000.0,-7108.54,50.0
99.5,568000.0,7651000.0,-7080.69,50.0
99.5,569000.0,7651000.0,-7086.05,50.0
99.5,570000.0,7651000.0,-7109.09,50.0
99.5,571000.0,7651000.0,-7127.34,50.0
99.5,572000.0,7651000.0,-7114.52,50.0
99.5,573000.0,7651000.0,-7051.99,50.0
99.5,574000.0,7651000.0,-6927.54,50.0
99.5,575000.0,7651000.0,-6790.16,50.0
99.5,576000.0,7651000.0,-6709.48,50.0
99.5,577000.0,7651000.0,-6655.52,50.0
99.5,578000.0,7651000.0,-6587.86,50.0
99.5,579000.0,7651000.0,-6697.03,46.0
99.5,400000.0,7652000.0,-3487.51,46.0
99.5,401000.0,7652000.0,-3532.75,39.0
99.5,402000.0,7652000.0,-3619.37,28.0
99.5,403000.0,7652000.0,-3698.79,9.0
99.5,404000.0,7652000.0,-3799.91,9.0
99.5,405000.0,7652000.0,-3962.1,9.0
99.5,406000.0,7652000.0,-4164.53,9.0
99.5,407000.0,7652000.0,-4323.35,9.0
99.5,408000.0,7652000.0,-4377.5,26.0
99.5,409000.0,7652000.0,-4398.87,38.0
99.5,410000.0,7652000.0,-4438.66,44.0
99.5,411000.0,7652000.0,-4436.98,255.0
99.5,412000.0,7652000.0,-4390.81,255.0
99.5,413000.0,7652000.0,-4303.96,255.0
99.5,414000.0,7652000.0,-4172.31,255.0
99.5,415000.0,7652000.0,-4101.88,255.0
99.5,416000.0,7652000.0,-4170.1,255.0
99.5,417000.0,7652000.0,-4283.55,255.0
99.5,418000.0,7652000.0,-4344.66,255.0
99.5,419000.0,7652000.0,-4386.75,255.0
99.5,420000.0,7652000.0,-4446.92,255.0
99.5,421000.0,7652000.0,-4489.49,255.0
99.5,422000.0,7652000.0,-4453.27,255.0
99.5,423000.0,7652000.0,-4329.74,255.0
99.5,424000.0,7652000.0,-4241.69,255.0
99.5,425000.0,7652000.0,-4261.27,255.0
99.5,426000.0,7652000.0,-4300.02,255.0
99.5,427000.0,7652000.0,-4347.67,255.0
99.5,428000.0,7652000.0,-4462.04,14.0
99.5,429000.0,7652000.0,-4583.84,14.0
99.5,430000.0,7652000.0,-4555.11,14.0
99.5,431000.0,7652000.0,-4307.78,14.0
99.5,432000.0,7652000.0,-4044.75,14.0
99.5,433000.0,7652000.0,-4019.76,12.0
99.5,434000.0,7652000.0,-4224.8,11.0
99.5,435000.0,7652000.0,-4519.89,10.0
99.5,436000.0,7652000.0,-4804.98,10.0
99.5,437000.0,7652000.0,-5012.13,2.0
99.5,438000.0,7652000.0,-5124.99,1.0
99.5,439000.0,7652000.0,-5103.21,1.0
99.5,440000.0,7652000.0,-4830.3,1.0
99.5,441000.0,7652000.0,-4419.45,1.0
99.5,442000.0,7652000.0,-4243.53,1.0
99.5,443000.0,7652000.0,-4382.81,1.0
99.5,444000.0,7652000.0,-4594.45,1.0
99.5,445000.0,7652000.0,-4731.74,1.0
99.5,446000.0,7652000.0,-4796.18,1.0
99.5,447000.0,7652000.0,-4844.49,1.0
99.5,448000.0,7652000.0,-4920.36,1.0
99.5,449000.0,7652000.0,-5007.11,1.0
99.5,450000.0,7652000.0,-5105.07,1.0
99.5,451000.0,7652000.0,-5227.24,1.0
99.5,452000.0,7652000.0,-5288.03,1.0
99.5,453000.0,7652000.0,-5190.12,1.0
99.5,454000.0,7652000.0,-5014.01,1.0
99.5,455000.0,7652000.0,-4925.37,1.0
99.5,456000.0,7652000.0,-4970.96,1.0
99.5,457000.0,7652000.0,-5105.5,1.0
99.5,458000.0,7652000.0,-5283.41,1.0
99.5,459000.0,7652000.0,-5443.53,1.0
99.5,460000.0,7652000.0,-5516.14,1.0
99.5,461000.0,7652000.0,-5514.03,1.0
99.5,462000.0,7652000.0,-5512.14,1.0
99.5,463000.0,7652000.0,-5485.06,1.0
99.5,464000.0,7652000.0,-5326.65,1.0
99.5,465000.0,7652000.0,-4878.99,1.0
99.5,466000.0,7652000.0,-4025.67,1.0
99.5,467000.0,7652000.0,-3104.28,1.0
99.5,468000.0,7652000.0,-2559.81,1.0
99.5,469000.0,7652000.0,-2320.17,1.0
99.5,470000.0,7652000.0,-2164.52,1.0
99.5,471000.0,7652000.0,-2067.31,1.0
99.5,472000.0,7652000.0,-2080.65,1.0
99.5,473000.0,7652000.0,-2240.96,1.0
99.5,474000.0,7652000.0,-2571.26,1.0
99.5,475000.0,7652000.0,-3055.39,1.0
99.5,476000.0,7652000.0,-3537.29,1.0
99.5,477000.0,7652000.0,-3833.22,1.0
99.5,478000.0,7652000.0,-3898.73,1.0
99.5,479000.0,7652000.0,-3800.77,2.0
99.5,480000.0,7652000.0,-3667.16,10.0
99.5,481000.0,7652000.0,-3623.18,1.0
99.5,482000.0,7652000.0,-3648.11,1.0
99.5,483000.0,7652000.0,-3688.32,1.0
