index	X	Y	Depth
256	740083.64	7230267.38	-6321.33
257	740133.64	7230267.38	-6316.01
258	740183.64	7230267.38	-6309.37
259	740233.64	7230267.38	-6301.02
260	740283.64	7230267.38	-6291.47
261	740333.64	7230267.38	-6280.93
262	740383.64	7230267.38	-6269.62
263	740433.64	7230267.38	-6255.28
264	740483.64	7230267.38	-6239.37
265	740533.64	7230267.38	-6222.02
266	740583.64	7230267.38	-6201.08
267	740633.64	7230267.38	-6182.04
268	740683.64	7230267.38	-6170.18
269	740733.64	7230267.38	-6160.49
270	740783.64	7230267.38	-6151.71
271	740833.64	7230267.38	-6145.72
272	740883.64	7230267.38	-6140.42
273	740933.64	7230267.38	-6131.09
274	740983.64	7230267.38	-6122.56
275	741033.64	7230267.38	-6113.98
276	741083.64	7230267.38	-6105.38
277	741133.64	7230267.38	-6098.25
278	741183.64	7230267.38	-6097.02
279	739483.64	7230317.38	-6352.15
280	739533.64	7230317.38	-6354.80
281	739583.64	7230317.38	-6356.64
282	739633.64	7230317.38	-6358.28
283	739683.64	7230317.38	-6356.99
284	739733.64	7230317.38	-6354.50
285	739783.64	7230317.38	-6350.69
286	739833.64	7230317.38	-6345.57
287	739883.64	7230317.38	-6340.21
288	739933.64	7230317.38	-6334.88
289	739983.64	7230317.38	-6329.80
290	740033.64	7230317.38	-6323.34
291	740083.64	7230317.38	-6316.51
292	740133.64	7230317.38	-6310.24
293	740183.64	7230317.38	-6302.65
294	740233.64	7230317.38	-6294.51
295	740283.64	7230317.38	-6284.84
296	740333.64	7230317.38	-6273.77
297	740383.64	7230317.38	-6261.18
298	740433.64	7230317.38	-6245.74
299	740483.64	7230317.38	-6229.36
300	740533.64	7230317.38	-6214.30
301	740583.64	7230317.38	-6197.15
302	740633.64	7230317.38	-6180.57
303	740683.64	7230317.38	-6170.77
304	740733.64	7230317.38	-6163.71
305	740783.64	7230317.38	-6157.07
306	740833.64	7230317.38	-6152.00
307	740883.64	7230317.38	-6145.96
308	740933.64	7230317.38	-6135.30
309	740983.64	7230317.38	-6124.07
310	741033.64	7230317.38	-6111.98
311	741083.64	7230317.38	-6100.05
312	741133.64	7230317.38	-6089.02
313	741183.64	7230317.38	-6088.19
314	741233.64	7230317.38	-6089.15
315	739433.64	7230367.38	-6343.10
316	739483.64	7230367.38	-6345.57
317	739533.64	7230367.38	-6346.24
318	739583.64	7230367.38	-6346.64
319	739633.64	7230367.38	-6347.53
320	739683.64	7230367.38	-6346.21
321	739733.64	7230367.38	-6344.03
322	739783.64	7230367.38	-6341.47
323	739833.64	7230367.38	-6337.99
324	739883.64	7230367.38	-6333.47
325	739933.64	7230367.38	-6329.44
326	739983.64	7230367.38	-6325.76
327	740033.64	7230367.38	-6320.35
328	740083.64	7230367.38	-6312.65
329	740133.64	7230367.38	-6304.30
330	740183.64	7230367.38	-6295.59
331	740233.64	7230367.38	-6287.08
332	740283.64	7230367.38	-6276.70
333	740333.64	7230367.38	-6265.66
334	740383.64	7230367.38	-6253.15
335	740433.64	7230367.38	-6237.76
336	740483.64	7230367.38	-6221.23
337	740533.64	7230367.38	-6208.11
338	740583.64	7230367.38	-6194.96
339	740633.64	7230367.38	-6182.76
340	740683.64	7230367.38	-6173.91
341	740733.64	7230367.38	-6166.56
342	740783.64	7230367.38	-6158.77
343	740833.64	7230367.38	-6152.06
344	740883.64	7230367.38	-6144.27
345	740933.64	7230367.38	-6133.73
346	740983.64	7230367.38	-6121.23
347	741033.64	7230367.38	-6106.90
348	741083.64	7230367.38	-6091.22
349	741133.64	7230367.38	-6077.56
350	741183.64	7230367.38	-6076.75
351	741233.64	7230367.38	-6080.56
352	741283.64	7230367.38	-6083.24
353	739383.64	7230417.38	-6336.00
354	739433.64	7230417.38	-6336.44
355	739483.64	7230417.38	-6336.93
356	739533.64	7230417.38	-6336.11
357	739583.64	7230417.38	-6335.54
358	739633.64	7230417.38	-6336.48
359	739683.64	7230417.38	-6336.48
360	739733.64	7230417.38	-6335.63
361	739783.64	7230417.38	-6334.75
362	739833.64	7230417.38	-6333.45
363	739883.64	7230417.38	-6330.30
364	739933.64	7230417.38	-6326.78
365	739983.64	7230417.38	-6323.62
366	740033.64	7230417.38	-6318.99
367	740083.64	7230417.38	-6310.84
368	740133.64	7230417.38	-6301.52
369	740183.64	7230417.38	-6291.09
370	740233.64	7230417.38	-6281.63
371	740283.64	7230417.38	-6271.15
372	740333.64	7230417.38	-6260.30
373	740383.64	7230417.38	-6248.51
374	740433.64	7230417.38	-6234.10
375	740483.64	7230417.38	-6217.90
376	740533.64	7230417.38	-6205.42
377	740583.64	7230417.38	-6194.64
378	740633.64	7230417.38	-6184.55
379	740683.64	7230417.38	-6175.83
380	740733.64	7230417.38	-6167.49
381	740783.64	7230417.38	-6158.18
382	740833.64	7230417.38	-6149.64
383	740883.64	7230417.38	-6140.99
384	740933.64	7230417.38	-6130.84
385	740983.64	7230417.38	-6118.30
386	741033.64	7230417.38	-6103.14
387	741083.64	7230417.38	-6084.79
388	741133.64	7230417.38	-6066.38
389	741183.64	7230417.38	-6063.11
390	741233.64	7230417.38	-6067.38
391	741283.64	7230417.38	-6073.85
392	739283.64	7230467.38	-6328.85
393	739333.64	7230467.38	-6330.34
394	739383.64	7230467.38	-6329.71
395	739433.64	7230467.38	-6328.12
396	739483.64	7230467.38	-6327.03
397	739533.64	7230467.38	-6324.85
398	739583.64	7230467.38	-6323.82
399	739633.64	7230467.38	-6325.30
400	739683.64	7230467.38	-6326.32
401	739733.64	7230467.38	-6327.74
402	739783.64	7230467.38	-6329.40
403	739833.64	7230467.38	-6330.21
404	739883.64	7230467.38	-6328.50
405	739933.64	7230467.38	-6325.38
406	739983.64	7230467.38	-6322.30
407	740033.64	7230467.38	-6318.74
408	740083.64	7230467.38	-6311.68
409	740133.64	7230467.38	-6302.26
410	740183.64	7230467.38	-6290.78
411	740233.64	7230467.38	-6278.79
412	740283.64	7230467.38	-6266.25
413	740333.64	7230467.38	-6254.72
414	740383.64	7230467.38	-6243.02
415	740433.64	7230467.38	-6230.65
416	740483.64	7230467.38	-6216.60
417	740533.64	7230467.38	-6204.42
418	740583.64	7230467.38	-6193.56
419	740633.64	7230467.38	-6183.49
420	740683.64	7230467.38	-6173.68
421	740733.64	7230467.38	-6164.22
422	740783.64	7230467.38	-6155.22
423	740833.64	7230467.38	-6146.46
424	740883.64	7230467.38	-6138.02
425	740933.64	7230467.38	-6128.59
426	740983.64	7230467.38	-6116.91
427	741033.64	7230467.38	-6102.69
428	741083.64	7230467.38	-6084.85
429	741133.64	7230467.38	-6064.03
430	741183.64	7230467.38	-6056.60
431	741233.64	7230467.38	-6061.50
432	741283.64	7230467.38	-6066.47
433	741333.64	7230467.38	-6077.70
434	739233.64	7230517.38	-6323.30
435	739283.64	7230517.38	-6324.16
436	739333.64	7230517.38	-6323.17
437	739383.64	7230517.38	-6321.86
438	739433.64	7230517.38	-6319.77
439	739483.64	7230517.38	-6317.76
440	739533.64	7230517.38	-6315.72
441	739583.64	7230517.38	-6314.88
442	739633.64	7230517.38	-6315.99
443	739683.64	7230517.38	-6317.80
444	739733.64	7230517.38	-6321.02
445	739783.64	7230517.38	-6324.48
446	739833.64	7230517.38	-6326.70
447	739883.64	7230517.38	-6327.06
448	739933.64	7230517.38	-6324.74
449	739983.64	7230517.38	-6322.13
450	740033.64	7230517.38	-6319.21
451	740083.64	7230517.38	-6313.32
452	740133.64	7230517.38	-6304.68
453	740183.64	7230517.38	-6292.62
454	740233.64	7230517.38	-6277.85
455	740283.64	7230517.38	-6263.78
456	740333.64	7230517.38	-6250.45
457	740383.64	7230517.38	-6237.91
458	740433.64	7230517.38	-6226.51
459	740483.64	7230517.38	-6214.56
460	740533.64	7230517.38	-6202.14
461	740583.64	7230517.38	-6190.18
462	740633.64	7230517.38	-6179.14
463	740683.64	7230517.38	-6168.26
464	740733.64	7230517.38	-6158.59
465	740783.64	7230517.38	-6150.34
466	740833.64	7230517.38	-6142.56
467	740883.64	7230517.38	-6135.36
468	740933.64	7230517.38	-6127.65
469	740983.64	7230517.38	-6118.05
470	741033.64	7230517.38	-6107.73
471	741083.64	7230517.38	-6094.33
472	741133.64	7230517.38	-6079.18
473	741183.64	7230517.38	-6068.00
474	741233.64	7230517.38	-6063.03
475	741283.64	7230517.38	-6059.14
476	741333.64	7230517.38	-6059.43
477	741383.64	7230517.38	-6064.20
478	739133.64	7230567.38	-6314.88
479	739183.64	7230567.38	-6316.45
480	739233.64	7230567.38	-6317.41
481	739283.64	7230567.38	-6316.66
482	739333.64	7230567.38	-6314.86
483	739383.64	7230567.38	-6313.32
484	739433.64	7230567.38	-6311.93
485	739483.64	7230567.38	-6310.77
486	739533.64	7230567.38	-6309.36
487	739583.64	7230567.38	-6308.76
488	739633.64	7230567.38	-6309.31
489	739683.64	7230567.38	-6310.61
490	739733.64	7230567.38	-6314.17
491	739783.64	7230567.38	-6317.72
492	739833.64	7230567.38	-6321.20
493	739883.64	7230567.38	-6324.22
494	739933.64	7230567.38	-6324.24
495	739983.64	7230567.38	-6322.92
496	740033.64	7230567.38	-6321.24
497	740083.64	7230567.38	-6316.51
498	740133.64	7230567.38	-6308.59
499	740183.64	7230567.38	-6296.50
500	740233.64	7230567.38	-6280.03
501	740283.64	7230567.38	-6262.32
502	740333.64	7230567.38	-6247.59
503	740383.64	7230567.38	-6232.48
504	740433.64	7230567.38	-6220.76
505	740483.64	7230567.38	-6209.88
506	740533.64	7230567.38	-6196.85
507	740583.64	7230567.38	-6183.53
508	740633.64	7230567.38	-6171.54
509	740683.64	7230567.38	-6160.36
510	740733.64	7230567.38	-6151.06
511	740783.64	7230567.38	-6143.78
512	740833.64	7230567.38	-6137.07
513	740883.64	7230567.38	-6132.70
514	740933.64	7230567.38	-6129.04
515	740983.64	7230567.38	-6125.14
516	741033.64	7230567.38	-6121.67
517	741083.64	7230567.38	-6113.70
518	741133.64	7230567.38	-6101.39
519	741183.64	7230567.38	-6086.22
520	741233.64	7230567.38	-6065.95
521	741283.64	7230567.38	-6051.41
522	741333.64	7230567.38	-6040.60
523	741383.64	7230567.38	-6036.40
524	741433.64	7230567.38	-6035.57
525	739083.64	7230617.38	-6308.79
526	739133.64	7230617.38	-6310.62
527	739183.64	7230617.38	-6310.49
528	739233.64	7230617.38	-6309.89
529	739283.64	7230617.38	-6308.22
530	739333.64	7230617.38	-6305.68
531	739383.64	7230617.38	-6304.97
532	739433.64	7230617.38	-6304.73
533	739483.64	7230617.38	-6304.62
534	739533.64	7230617.38	-6304.03
535	739583.64	7230617.38	-6303.48
536	739633.64	7230617.38	-6302.98
537	739683.64	7230617.38	-6303.55
538	739733.64	7230617.38	-6306.72
539	739783.64	7230617.38	-6310.44
540	739833.64	7230617.38	-6313.96
541	739883.64	7230617.38	-6320.34
542	739933.64	7230617.38	-6322.84
543	739983.64	7230617.38	-6323.31
544	740033.64	7230617.38	-6323.43
545	740083.64	7230617.38	-6320.20
546	740133.64	7230617.38	-6312.73
547	740183.64	7230617.38	-6301.16
548	740233.64	7230617.38	-6282.80
549	740283.64	7230617.38	-6263.54
550	740333.64	7230617.38	-6245.33
551	740383.64	7230617.38	-6226.87
552	740433.64	7230617.38	-6213.29
553	740483.64	7230617.38	-6200.91
554	740533.64	7230617.38	-6186.91
555	740583.64	7230617.38	-6173.03
556	740633.64	7230617.38	-6160.81
557	740683.64	7230617.38	-6150.26
558	740733.64	7230617.38	-6142.26
559	740783.64	7230617.38	-6136.01
560	740833.64	7230617.38	-6131.01
561	740883.64	7230617.38	-6130.26
562	740933.64	7230617.38	-6132.59
563	740983.64	7230617.38	-6134.44
564	741033.64	7230617.38	-6135.89
565	741083.64	7230617.38	-6130.31
566	741133.64	7230617.38	-6117.92
567	741183.64	7230617.38	-6097.51
568	741233.64	7230617.38	-6068.02
569	741283.64	7230617.38	-6041.39
570	741333.64	7230617.38	-6026.60
571	741383.64	7230617.38	-6015.68
572	741433.64	7230617.38	-6013.28
573	738983.64	7230667.38	-6297.50
574	739033.64	7230667.38	-6300.53
575	739083.64	7230667.38	-6302.76
576	739133.64	7230667.38	-6303.40
577	739183.64	7230667.38	-6302.52
578	739233.64	7230667.38	-6301.07
579	739283.64	7230667.38	-6299.13
580	739333.64	7230667.38	-6297.54
581	739383.64	7230667.38	-6297.72
582	739433.64	7230667.38	-6298.09
583	739483.64	7230667.38	-6298.90
584	739533.64	7230667.38	-6298.70
585	739583.64	7230667.38	-6297.79
586	739633.64	7230667.38	-6296.19
587	739683.64	7230667.38	-6296.42
588	739733.64	7230667.38	-6300.41
589	739783.64	7230667.38	-6305.21
590	739833.64	7230667.38	-6310.78
591	739883.64	7230667.38	-6317.51
592	739933.64	7230667.38	-6320.92
593	739983.64	7230667.38	-6321.58
594	740033.64	7230667.38	-6321.67
595	740083.64	7230667.38	-6319.46
596	740133.64	7230667.38	-6312.59
597	740183.64	7230667.38	-6301.17
598	740233.64	7230667.38	-6283.41
599	740283.64	7230667.38	-6263.65
600	740333.64	7230667.38	-6242.92
601	740383.64	7230667.38	-6222.13
602	740433.64	7230667.38	-6205.00
603	740483.64	7230667.38	-6189.99
604	740533.64	7230667.38	-6174.49
605	740583.64	7230667.38	-6160.64
606	740633.64	7230667.38	-6148.48
607	740683.64	7230667.38	-6138.64
608	740733.64	7230667.38	-6132.14
609	740783.64	7230667.38	-6127.73
610	740833.64	7230667.38	-6124.10
611	740883.64	7230667.38	-6128.15
