index	X	Y	Depth
483	739383.64	7230567.38	-6526.26
484	739433.64	7230567.38	-6522.05
485	739483.64	7230567.38	-6518.61
486	739533.64	7230567.38	-6518.89
487	739583.64	7230567.38	-6524.72
488	739633.64	7230567.38	-6533.91
489	739683.64	7230567.38	-6541.51
490	739733.64	7230567.38	-6544.02
491	739783.64	7230567.38	-6539.21
492	739833.64	7230567.38	-6528.42
493	739883.64	7230567.38	-6515.42
494	739933.64	7230567.38	-6503.89
495	739983.64	7230567.38	-6495.27
496	740033.64	7230567.38	-6489.57
497	740083.64	7230567.38	-6485.01
498	740133.64	7230567.38	-6480.45
499	740183.64	7230567.38	-6474.65
500	740233.64	7230567.38	-6467.17
501	740283.64	7230567.38	-6463.52
502	740333.64	7230567.38	-6465.52
503	740383.64	7230567.38	-6465.65
504	740433.64	7230567.38	-6467.43
505	740483.64	7230567.38	-6470.48
506	740533.64	7230567.38	-6465.67
507	740583.64	7230567.38	-6458.68
508	740633.64	7230567.38	-6452.22
509	740683.64	7230567.38	-6444.78
510	740733.64	7230567.38	-6435.61
511	740783.64	7230567.38	-6426.26
512	740833.64	7230567.38	-6416.26
513	740883.64	7230567.38	-6405.34
514	740933.64	7230567.38	-6394.15
515	740983.64	7230567.38	-6385.59
516	741033.64	7230567.38	-6378.81
517	741083.64	7230567.38	-6371.69
518	741133.64	7230567.38	-6361.26
519	741183.64	7230567.38	-6348.38
520	741233.64	7230567.38	-6333.32
521	741283.64	7230567.38	-6318.88
522	741333.64	7230567.38	-6308.99
523	741383.64	7230567.38	-6302.93
524	741433.64	7230567.38	-6298.83
525	739083.64	7230617.38	-6563.16
526	739133.64	7230617.38	-6552.99
527	739183.64	7230617.38	-6540.46
528	739233.64	7230617.38	-6533.72
529	739283.64	7230617.38	-6527.80
530	739333.64	7230617.38	-6518.71
531	739383.64	7230617.38	-6512.99
532	739433.64	7230617.38	-6510.59
533	739483.64	7230617.38	-6508.25
534	739533.64	7230617.38	-6508.16
535	739583.64	7230617.38	-6511.55
536	739633.64	7230617.38	-6516.84
537	739683.64	7230617.38	-6523.81
538	739733.64	7230617.38	-6528.00
539	739783.64	7230617.38	-6523.61
540	739833.64	7230617.38	-6514.78
541	739883.64	7230617.38	-6505.01
542	739933.64	7230617.38	-6494.17
543	739983.64	7230617.38	-6485.96
544	740033.64	7230617.38	-6480.81
545	740083.64	7230617.38	-6476.88
546	740133.64	7230617.38	-6473.60
547	740183.64	7230617.38	-6469.56
548	740233.64	7230617.38	-6463.75
549	740283.64	7230617.38	-6461.50
550	740333.64	7230617.38	-6462.17
551	740383.64	7230617.38	-6461.92
552	740433.64	7230617.38	-6462.89
553	740483.64	7230617.38	-6463.68
554	740533.64	7230617.38	-6458.82
555	740583.64	7230617.38	-6451.56
556	740633.64	7230617.38	-6444.07
557	740683.64	7230617.38	-6436.39
558	740733.64	7230617.38	-6428.39
559	740783.64	7230617.38	-6420.81
560	740833.64	7230617.38	-6412.96
561	740883.64	7230617.38	-6403.05
562	740933.64	7230617.38	-6392.18
563	740983.64	7230617.38	-6384.64
564	741033.64	7230617.38	-6379.39
565	741083.64	7230617.38	-6373.40
566	741133.64	7230617.38	-6364.10
567	741183.64	7230617.38	-6350.97
568	741233.64	7230617.38	-6334.77
569	741283.64	7230617.38	-6318.85
570	741333.64	7230617.38	-6307.29
571	741383.64	7230617.38	-6300.39
572	741433.64	7230617.38	-6296.00
573	738983.64	7230667.38	-6575.54
574	739033.64	7230667.38	-6560.70
575	739083.64	7230667.38	-6548.19
576	739133.64	7230667.38	-6535.55
577	739183.64	7230667.38	-6523.12
578	739233.64	7230667.38	-6516.44
579	739283.64	7230667.38	-6512.01
580	739333.64	7230667.38	-6507.05
581	739383.64	7230667.38	-6504.99
582	739433.64	7230667.38	-6502.96
583	739483.64	7230667.38	-6500.99
584	739533.64	7230667.38	-6499.67
585	739583.64	7230667.38	-6499.10
586	739633.64	7230667.38	-6499.03
587	739683.64	7230667.38	-6502.77
588	739733.64	7230667.38	-6506.54
589	739783.64	7230667.38	-6504.44
590	739833.64	7230667.38	-6499.46
591	739883.64	7230667.38	-6493.04
592	739933.64	7230667.38	-6484.01
593	739983.64	7230667.38	-6476.99
594	740033.64	7230667.38	-6472.83
595	740083.64	7230667.38	-6469.81
596	740133.64	7230667.38	-6467.83
597	740183.64	7230667.38	-6465.81
598	740233.64	7230667.38	-6461.82
599	740283.64	7230667.38	-6459.12
600	740333.64	7230667.38	-6457.53
601	740383.64	7230667.38	-6454.96
602	740433.64	7230667.38	-6453.52
603	740483.64	7230667.38	-6453.08
604	740533.64	7230667.38	-6449.29
605	740583.64	7230667.38	-6443.02
606	740633.64	7230667.38	-6435.97
607	740683.64	7230667.38	-6429.32
608	740733.64	7230667.38	-6422.44
