,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
67,451953.164,7774000.925,-2380.76,0.6469559320669483,0.4284937761056355,0.49020297972113575,h1,Strat_1,2,2,2e-06
68,450993.879,7774461.549,-2349.52,0.6346592767787222,0.43439831390772976,0.49060343163188613,h1,Strat_1,2,2,2e-06
69,449987.406,7774956.031,-2334.12,0.6217577391356787,0.4407368626187409,0.4908008375033828,h1,Strat_1,2,2,2e-06
70,449891.375,7775000.875,-2333.21,0.6205267597041396,0.4413116982616833,0.49081250239578944,h1,Strat_1,2,2,2e-06
71,448998.179,7775432.116,-2309.17,0.6090772704315849,0.4468395882246816,0.49112066065233356,h1,Strat_1,2,2,2e-06
72,447999.926,7775914.63,-2282.6,0.5962811013770931,0.4530247243726847,0.4914612498734808,h1,Strat_1,2,2,2e-06
73,447810.044,7776004.022,-2276.66,0.5938470869815393,0.45417060136390736,0.4915373921382009,h1,Strat_1,2,2,2e-06
74,446996.267,7776387.133,-2251.2,0.5834156351705686,0.4590815338856646,0.49186375275432465,h1,Strat_1,2,2,2e-06
75,445995.0,7776900.5,-2217.94,0.5705808309669413,0.465662161160506,0.49229009816250513,h1,Strat_1,2,2,2e-06
76,445810.591,7777001.667,-2216.7,0.5682169725671474,0.4669589767320499,0.49230599318072954,h1,Strat_1,2,2,2e-06
77,444992.636,7777408.333,-2183.63,0.5577319647996107,0.47217185050723964,0.492729903061924,h1,Strat_1,2,2,2e-06
78,443992.095,7777887.381,-2140.62,0.5449064668727822,0.47831255751560464,0.49328122946017544,h1,Strat_1,2,2,2e-06
79,443765.226,7778004.155,-2128.5,0.5419983322844336,0.47980943240120166,0.4934365904447559,h1,Strat_1,2,2,2e-06
80,442988.714,7778396.536,-2107.04,0.5320445642267949,0.48483919300274364,0.49371167680854283,h1,Strat_1,2,2,2e-06
81,441998.0,7778858.0,-2085.53,0.5193450343193955,0.49075449839782675,0.493987404100484,h1,Strat_1,2,2,2e-06
82,441700.694,7779003.139,-2078.76,0.5155339986030847,0.49261497182530994,0.494074185772564,h1,Strat_1,2,2,2e-06
83,440998.5,7779346.667,-2057.92,0.506532880516738,0.49701850716449797,0.49434132462723873,h1,Strat_1,2,2,2e-06
84,439998.5,7779851.75,-2031.21,0.4937143174325384,0.5034929454627501,0.4946837084472177,h1,Strat_1,2,2,2e-06
85,439671.676,7780005.279,-2000.49,0.48952490337110766,0.5054609666345055,0.4950774947051643,h1,Strat_1,2,2,2e-06
86,438994.527,7780328.732,-1988.09,0.48084482619720526,0.5096071693197758,0.49523644488740837,h1,Strat_1,2,2,2e-06
87,437998.83,7780813.696,-1959.02,0.4680814213899572,0.5158237109473495,0.49560908051626607,h1,Strat_1,2,2,2e-06
88,437624.559,7781002.235,-1937.14,0.46328380496587057,0.5182405100126798,0.4958895506765484,h1,Strat_1,2,2,2e-06
89,436992.706,7781315.216,-1916.05,0.4551843574254298,0.5222524767053316,0.49615989417199413,h1,Strat_1,2,2,2e-06
90,435996.635,7781804.916,-1888.95,0.442416158475588,0.5285297270476665,0.49650727723157595,h1,Strat_1,2,2,2e-06
91,435594.778,7782006.293,-1877.99,0.4372649291702606,0.5311110908258656,0.4966477686829788,h1,Strat_1,2,2,2e-06
92,434991.994,7782308.359,-1853.04,0.4295381044401146,0.5349831429024648,0.49696759183192957,h1,Strat_1,2,2,2e-06
93,433996.424,7782796.347,-1836.0,0.4167763275903779,0.5412384478647959,0.4971860201468843,h1,Strat_1,2,2,2e-06
94,433563.312,7783002.125,-1815.17,0.41122445409585373,0.5438762261391354,0.4974530308159282,h1,Strat_1,2,2,2e-06
95,432994.854,7783272.208,-1787.64,0.403937639362136,0.5473383021126007,0.4978059258576362,h1,Strat_1,2,2,2e-06
96,431998.748,7783762.223,-1752.91,0.3911689917625866,0.5536195903023123,0.4982511145535505,h1,Strat_1,2,2,2e-06
97,431423.466,7784056.126,-1708.07,0.383794703154382,0.557387004448447,0.498825898922246,h1,Strat_1,2,2,2e-06
98,430994.085,7784271.61,-1696.08,0.3782906557187254,0.5601491996960849,0.49897959349362553,h1,Strat_1,2,2,2e-06
99,429994.292,7784751.5,-1643.81,0.3654747460770842,0.5663006999345571,0.4996496197860366,h1,Strat_1,2,2,2e-06
100,429484.189,7785005.331,-1624.16,0.35893595859214467,0.5695544486207856,0.49990150455064114,h1,Strat_1,2,2,2e-06
101,428998.756,7785240.323,-1609.28,0.35271340505849214,0.572566708397063,0.500092244769334,h1,Strat_1,2,2,2e-06
102,427987.437,7785729.89,-1559.34,0.3397497486587422,0.5788422538705029,0.500732403809759,h1,Strat_1,2,2,2e-06
103,427421.098,7786004.047,-1479.18,0.3324900964602,0.5823565526699854,0.5017599398265884,h1,Strat_1,2,2,2e-06
104,426989.602,7786212.929,-1425.14,0.3269589377636204,0.58503411976413,0.5024526549756586,h1,Strat_1,2,2,2e-06
105,425993.59,7786700.934,-1338.15,0.3141914951090007,0.5912896426420453,0.5035677417783531,h1,Strat_1,2,2,2e-06
106,425405.0,7787001.0,-1287.05,0.30664661706327134,0.5951360575924642,0.5042227703519557,h1,Strat_1,2,2,2e-06
107,424998.2,7787192.52,-1220.09,0.3014320256006191,0.5975910687943443,0.5050811013360736,h1,Strat_1,2,2,2e-06
108,423994.76,7787664.936,-1063.31,0.2885693666594098,0.6036467630923322,0.5070907956564145,h1,Strat_1,2,2,2e-06
109,423294.416,7788006.178,-950.79,0.2795919629147693,0.6080209951963177,0.5085331403746487,h1,Strat_1,2,2,2e-06
110,422999.485,7788153.208,-886.19,0.2758113712857827,0.609905708526579,0.509361219549888,h1,Strat_1,2,2,2e-06
111,421991.819,7788649.606,-684.65,0.26289454109698007,0.6162688176044501,0.5119446727538776,h1,Strat_1,2,2,2e-06
112,459317.03,7770392.697,-2831.99,0.7413501129315415,0.3822414778654586,0.48441885950065233,h2,Strat_2,3,3,2e-06
113,458993.212,7770546.879,-2855.51,0.7371992314707417,0.384217869558907,0.484117366896912,h2,Strat_2,3,3,2e-06
114,458035.25,7771003.0,-2866.36,0.7249195351414758,0.3900646853714388,0.48397828548744837,h2,Strat_2,3,3,2e-06
115,457994.773,7771022.273,-2868.78,0.7244006781635164,0.39031173753776116,0.48394726456478465,h2,Strat_2,3,3,2e-06
116,456991.898,7771511.254,-2846.91,0.7115452617104497,0.396579771333232,0.4842276065394361,h2,Strat_2,3,3,2e-06
117,456002.932,7772004.169,-2821.95,0.698868138651321,0.40289823335588076,0.4845475578740177,h2,Strat_2,3,3,2e-06
118,455989.568,7772010.831,-2821.36,0.6986968313742645,0.4029836306231538,0.48455512082623736,h2,Strat_2,3,3,2e-06
119,454785.864,7772589.909,-2798.83,0.6832670757155608,0.4104065784968227,0.4848439230525244,h2,Strat_2,3,3,2e-06
120,453989.662,7772978.517,-2797.58,0.6730609101507949,0.41538797465984745,0.4848599462563796,h2,Strat_2,3,3,2e-06
121,453936.07,7773005.423,-2799.9,0.6723739377179865,0.4157328709181964,0.4848302071900243,h2,Strat_2,3,3,2e-06
122,452998.209,7773476.269,-2764.17,0.6603519073252755,0.4217684400721382,0.48528821444902276,h2,Strat_2,3,3,2e-06
123,451993.358,7773980.746,-2738.65,0.6474711613915549,0.42823511032116535,0.48561534417893154,h2,Strat_2,3,3,2e-06
124,451953.164,7774000.925,-2735.96,0.6469559320669483,0.4284937761056355,0.485649826113628,h2,Strat_2,3,3,2e-06
125,450993.879,7774461.549,-2720.14,0.6346592767787222,0.43439831390772976,0.4858526157816201,h2,Strat_2,3,3,2e-06
126,449987.406,7774956.031,-2696.42,0.6217577391356787,0.4407368626187409,0.4861566720979773,h2,Strat_2,3,3,2e-06
127,449891.375,7775000.875,-2694.86,0.6205267597041396,0.4413116982616833,0.4861766690563886,h2,Strat_2,3,3,2e-06
128,448998.179,7775432.116,-2670.26,0.6090772704315849,0.4468395882246816,0.48649200570825996,h2,Strat_2,3,3,2e-06
129,447999.926,7775914.63,-2641.12,0.5962811013770931,0.4530247243726847,0.48686553863653353,h2,Strat_2,3,3,2e-06
130,447810.044,7776004.022,-2630.18,0.5938470869815393,0.45417060136390736,0.48700577371667464,h2,Strat_2,3,3,2e-06
131,446996.267,7776387.133,-2586.19,0.5834156351705686,0.4590815338856646,0.4875696623067486,h2,Strat_2,3,3,2e-06
132,445995.0,7776900.5,-2564.75,0.5705808309669413,0.465662161160506,0.48784449229927385,h2,Strat_2,3,3,2e-06
133,445810.591,7777001.667,-2561.65,0.5682169725671474,0.4669589767320499,0.48788422984483487,h2,Strat_2,3,3,2e-06
134,444992.636,7777408.333,-2536.59,0.5577319647996107,0.47217185050723964,0.48820546303572493,h2,Strat_2,3,3,2e-06
135,443992.095,7777887.381,-2504.53,0.5449064668727822,0.47831255751560464,0.48861642616820433,h2,Strat_2,3,3,2e-06
136,443765.226,7778004.155,-2499.48,0.5419983322844336,0.47980943240120166,0.4886811599117796,h2,Strat_2,3,3,2e-06
137,442988.714,7778396.536,-2475.92,0.5320445642267949,0.48483919300274364,0.4889831652580433,h2,Strat_2,3,3,2e-06
138,441998.0,7778858.0,-2436.31,0.5193450343193955,0.49075449839782675,0.48949090854180843,h2,Strat_2,3,3,2e-06
139,441579.069,7779062.514,-2437.36,0.5139749408679689,0.49337607400843425,0.48947744905057006,h2,Strat_2,3,3,2e-06
140,440998.5,7779346.667,-2412.59,0.506532880516738,0.49701850716449797,0.48979496485816565,h2,Strat_2,3,3,2e-06
141,439998.5,7779851.75,-2371.05,0.4937143174325384,0.5034929454627501,0.4903274479686833,h2,Strat_2,3,3,2e-06
142,439671.676,7780005.279,-2373.92,0.48952490337110766,0.5054609666345055,0.49029065869263166,h2,Strat_2,3,3,2e-06
143,438994.527,7780328.732,-2377.91,0.48084482619720526,0.5096071693197758,0.4902395126259257,h2,Strat_2,3,3,2e-06
144,437998.83,7780813.696,-2360.18,0.4680814213899572,0.5158237109473495,0.49046678574940855,h2,Strat_2,3,3,2e-06
145,437624.559,7781002.235,-2353.56,0.46328380496587057,0.5182405100126798,0.49055164463702594,h2,Strat_2,3,3,2e-06
146,436992.706,7781315.216,-2320.6,0.4551843574254298,0.5222524767053316,0.4909741444762812,h2,Strat_2,3,3,2e-06
147,435996.635,7781804.916,-2256.81,0.442416158475588,0.5285297270476665,0.49179184061542225,h2,Strat_2,3,3,2e-06
148,435594.778,7782006.293,-2234.47,0.4372649291702606,0.5311110908258656,0.4920782073147233,h2,Strat_2,3,3,2e-06
149,434991.994,7782308.359,-2198.88,0.4295381044401146,0.5349831429024648,0.49253441997488995,h2,Strat_2,3,3,2e-06
150,433996.424,7782796.347,-2169.24,0.4167763275903779,0.5412384478647959,0.49291436218470563,h2,Strat_2,3,3,2e-06
151,433563.312,7783002.125,-2163.81,0.41122445409585373,0.5438762261391354,0.49298396698225283,h2,Strat_2,3,3,2e-06
152,432994.854,7783272.208,-2125.95,0.403937639362136,0.5473383021126007,0.49346927778062066,h2,Strat_2,3,3,2e-06
153,431998.748,7783762.223,-2024.78,0.3911689917625866,0.5536195903023123,0.4947661318078491,h2,Strat_2,3,3,2e-06
154,431530.495,7784001.447,-2002.18,0.3851666611427206,0.5566860982375601,0.495055831333552,h2,Strat_2,3,3,2e-06
155,430994.085,7784271.61,-1971.83,0.3782906557187254,0.5601491996960849,0.49544487472315746,h2,Strat_2,3,3,2e-06
156,429994.292,7784751.5,-1920.48,0.3654747460770842,0.5663006999345571,0.49610310793753115,h2,Strat_2,3,3,2e-06
157,429484.189,7785005.331,-1884.68,0.35893595859214467,0.5695544486207856,0.49656201249594545,h2,Strat_2,3,3,2e-06
158,428998.756,7785240.323,-1844.98,0.35271340505849214,0.572566708397063,0.4970709094503882,h2,Strat_2,3,3,2e-06
159,427987.437,7785729.89,-1823.18,0.3397497486587422,0.5788422538705029,0.49735035412562373,h2,Strat_2,3,3,2e-06
160,427421.098,7786004.047,-1793.58,0.3324900964602,0.5823565526699854,0.4977297835929161,h2,Strat_2,3,3,2e-06
161,426989.602,7786212.929,-1774.13,0.3269589377636204,0.58503411976413,0.49797910464490375,h2,Strat_2,3,3,2e-06
162,425993.59,7786700.934,-1682.42,0.3141914951090007,0.5912896426420453,0.4991546950653557,h2,Strat_2,3,3,2e-06
163,425405.0,7787001.0,-1612.25,0.30664661706327134,0.5951360575924642,0.500054173636974,h2,Strat_2,3,3,2e-06
164,424998.2,7787192.52,-1547.86,0.3014320256006191,0.5975910687943443,0.5008795609139656,h2,Strat_2,3,3,2e-06
165,423994.76,7787664.936,-1391.27,0.2885693666594098,0.6036467630923322,0.5028868197073204,h2,Strat_2,3,3,2e-06
166,423294.416,7788006.178,-1251.15,0.2795919629147693,0.6080209951963177,0.5046829567666784,h2,Strat_2,3,3,2e-06
167,422999.485,7788153.208,-1185.67,0.2758113712857827,0.609905708526579,0.5055223162774318,h2,Strat_2,3,3,2e-06
168,421991.819,7788649.606,-909.31,0.26289454109698007,0.6162688176044501,0.5090648543713813,h2,Strat_2,3,3,2e-06
169,458601.932,7770733.182,-3084.86,0.7321835841071558,0.38660600631718656,0.4811774294535508,h3,Strat_3,4,4,2e-06
