,time_d,northing_d,easting_d,estrutural
80771,90.5,7652000.0,531000.0,-6425.95
80772,90.5,7652000.0,532000.0,-6951.74
80773,90.5,7652000.0,533000.0,-7111.94
80774,90.5,7652000.0,534000.0,-6892.18
80775,90.5,7652000.0,535000.0,-6147.65
80776,90.5,7652000.0,536000.0,-4780.82
80777,90.5,7652000.0,537000.0,-3677.36
80778,90.5,7652000.0,538000.0,-3522.2
80779,90.5,7652000.0,539000.0,-3716.03
80780,90.5,7652000.0,540000.0,-3711.98
80781,90.5,7652000.0,541000.0,-3601.3
80782,90.5,7652000.0,542000.0,-3521.6
80783,90.5,7652000.0,543000.0,-3480.29
80784,90.5,7652000.0,544000.0,-3406.91
80785,90.5,7652000.0,545000.0,-3237.72
80786,90.5,7652000.0,546000.0,-2996.34
80787,90.5,7652000.0,547000.0,-2824.96
80788,90.5,7652000.0,548000.0,-2799.13
80789,90.5,7652000.0,549000.0,-2860.52
80790,90.5,7652000.0,550000.0,-2957.05
80791,90.5,7652000.0,551000.0,-3503.92
80792,90.5,7652000.0,552000.0,-4689.9
80793,90.5,7652000.0,553000.0,-5663.15
80794,90.5,7652000.0,554000.0,-6034.92
80795,90.5,7652000.0,555000.0,-6217.97
80796,90.5,7652000.0,556000.0,-6377.69
80797,90.5,7652000.0,557000.0,-6509.03
80798,90.5,7652000.0,558000.0,-6619.3
80799,90.5,7652000.0,559000.0,-6678.98
80800,90.5,7652000.0,560000.0,-6672.6
80801,90.5,7652000.0,561000.0,-6634.18
80802,90.5,7652000.0,562000.0,-6591.77
80803,90.5,7652000.0,563000.0,-6545.16
80804,90.5,7652000.0,564000.0,-6486.6
80805,90.5,7652000.0,565000.0,-6412.97
80806,90.5,7652000.0,566000.0,-6330.16
80807,90.5,7652000.0,567000.0,-6250.32
80808,90.5,7652000.0,568000.0,-6188.27
80809,90.5,7652000.0,569000.0,-6151.84
80810,90.5,7652000.0,570000.0,-6141.31
80811,90.5,7652000.0,571000.0,-6147.74
80812,90.5,7652000.0,572000.0,-6154.58
