time,X,Y,Z,litho
92.0,469000.0,7651000.0,-2260.8,37.0
92.0,470000.0,7651000.0,-2135.41,37.0
92.0,471000.0,7651000.0,-2046.91,37.0
92.0,472000.0,7651000.0,-2092.99,37.0
92.0,473000.0,7651000.0,-2322.98,37.0
92.0,474000.0,7651000.0,-2690.27,37.0
92.0,475000.0,7651000.0,-3125.59,37.0
92.0,476000.0,7651000.0,-3543.34,37.0
92.0,477000.0,7651000.0,-3805.79,37.0
92.0,478000.0,7651000.0,-3853.31,37.0
92.0,479000.0,7651000.0,-3761.01,37.0
92.0,480000.0,7651000.0,-3631.45,37.0
92.0,481000.0,7651000.0,-3564.71,37.0
92.0,482000.0,7651000.0,-3561.81,37.0
92.0,483000.0,7651000.0,-3574.61,37.0
92.0,484000.0,7651000.0,-3741.77,37.0
92.0,485000.0,7651000.0,-4274.73,37.0
92.0,486000.0,7651000.0,-5070.26,28.0
92.0,487000.0,7651000.0,-5759.72,28.0
92.0,488000.0,7651000.0,-6268.95,28.0
92.0,489000.0,7651000.0,-6772.44,28.0
92.0,490000.0,7651000.0,-7243.17,28.0
92.0,491000.0,7651000.0,-7511.66,28.0
92.0,492000.0,7651000.0,-7433.68,28.0
92.0,493000.0,7651000.0,-7154.03,28.0
92.0,494000.0,7651000.0,-6941.26,28.0
92.0,495000.0,7651000.0,-6546.53,28.0
92.0,496000.0,7651000.0,-5466.46,28.0
92.0,497000.0,7651000.0,-4288.75,28.0
92.0,498000.0,7651000.0,-3911.64,28.0
92.0,499000.0,7651000.0,-4064.6,28.0
92.0,500000.0,7651000.0,-4612.17,28.0
92.0,501000.0,7651000.0,-5424.72,28.0
92.0,502000.0,7651000.0,-5836.74,28.0
92.0,503000.0,7651000.0,-5616.97,30.0
92.0,504000.0,7651000.0,-4928.68,39.0
92.0,505000.0,7651000.0,-4086.31,39.0
92.0,506000.0,7651000.0,-3525.16,39.0
92.0,507000.0,7651000.0,-3505.74,40.0
92.0,508000.0,7651000.0,-3837.6,41.0
92.0,509000.0,7651000.0,-4155.71,41.0
92.0,510000.0,7651000.0,-4341.39,41.0
92.0,511000.0,7651000.0,-4426.27,41.0
92.0,512000.0,7651000.0,-4407.22,41.0
92.0,513000.0,7651000.0,-4273.8,41.0
92.0,514000.0,7651000.0,-3939.64,41.0
92.0,515000.0,7651000.0,-3702.58,41.0
92.0,516000.0,7651000.0,-4500.77,41.0
92.0,517000.0,7651000.0,-6024.44,41.0
92.0,518000.0,7651000.0,-5911.39,33.0
92.0,519000.0,7651000.0,-4402.62,33.0
92.0,520000.0,7651000.0,-4812.9,33.0
92.0,521000.0,7651000.0,-6677.79,32.0
92.0,522000.0,7651000.0,-7301.86,39.0
92.0,523000.0,7651000.0,-7071.81,39.0
92.0,524000.0,7651000.0,-7159.14,39.0
92.0,525000.0,7651000.0,-7341.09,39.0
92.0,526000.0,7651000.0,-7123.97,39.0
92.0,527000.0,7651000.0,-6662.92,39.0
92.0,528000.0,7651000.0,-6373.56,40.0
92.0,529000.0,7651000.0,-6228.76,45.0
92.0,530000.0,7651000.0,-6278.36,46.0
92.0,531000.0,7651000.0,-6692.63,46.0
92.0,532000.0,7651000.0,-7081.63,49.0
92.0,533000.0,7651000.0,-7110.24,50.0
92.0,534000.0,7651000.0,-6873.69,50.0
