time,X,Y,Z,litho
93.0,460000.0,7651000.0,-5462.73,29.0
93.0,461000.0,7651000.0,-5442.15,29.0
93.0,462000.0,7651000.0,-5442.24,29.0
93.0,463000.0,7651000.0,-5437.28,29.0
93.0,464000.0,7651000.0,-5316.7,29.0
93.0,465000.0,7651000.0,-4861.42,29.0
93.0,466000.0,7651000.0,-3924.43,29.0
93.0,467000.0,7651000.0,-2947.35,29.0
93.0,468000.0,7651000.0,-2440.21,29.0
93.0,469000.0,7651000.0,-2264.88,29.0
93.0,470000.0,7651000.0,-2139.47,29.0
93.0,471000.0,7651000.0,-2050.96,29.0
93.0,472000.0,7651000.0,-2097.03,29.0
93.0,473000.0,7651000.0,-2327.0,29.0
93.0,474000.0,7651000.0,-2694.27,29.0
93.0,475000.0,7651000.0,-3129.57,29.0
93.0,476000.0,7651000.0,-3547.3,29.0
93.0,477000.0,7651000.0,-3809.74,29.0
93.0,478000.0,7651000.0,-3857.24,29.0
93.0,479000.0,7651000.0,-3764.92,29.0
93.0,480000.0,7651000.0,-3635.34,29.0
93.0,481000.0,7651000.0,-3568.58,29.0
93.0,482000.0,7651000.0,-3565.66,29.0
93.0,483000.0,7651000.0,-3578.44,29.0
93.0,484000.0,7651000.0,-3745.59,29.0
93.0,485000.0,7651000.0,-4278.53,29.0
93.0,486000.0,7651000.0,-5074.04,29.0
93.0,487000.0,7651000.0,-5763.49,28.0
93.0,488000.0,7651000.0,-6272.72,16.0
93.0,489000.0,7651000.0,-6776.23,16.0
93.0,490000.0,7651000.0,-7247.04,16.0
93.0,491000.0,7651000.0,-7515.93,16.0
93.0,492000.0,7651000.0,-7442.31,16.0
93.0,493000.0,7651000.0,-7175.8,16.0
93.0,494000.0,7651000.0,-6980.88,16.0
93.0,495000.0,7651000.0,-6594.92,29.0
93.0,496000.0,7651000.0,-5502.55,29.0
93.0,497000.0,7651000.0,-4304.83,29.0
93.0,498000.0,7651000.0,-3925.35,37.0
93.0,499000.0,7651000.0,-4082.28,36.0
93.0,500000.0,7651000.0,-4622.69,36.0
93.0,501000.0,7651000.0,-5429.36,36.0
93.0,502000.0,7651000.0,-5841.26,36.0
93.0,503000.0,7651000.0,-5620.96,36.0
93.0,504000.0,7651000.0,-4932.17,36.0
93.0,505000.0,7651000.0,-4089.75,36.0
93.0,506000.0,7651000.0,-3528.59,36.0
93.0,507000.0,7651000.0,-3509.15,36.0
93.0,508000.0,7651000.0,-3841.0,36.0
93.0,509000.0,7651000.0,-4159.09,36.0
93.0,510000.0,7651000.0,-4344.76,36.0
93.0,511000.0,7651000.0,-4429.63,36.0
93.0,512000.0,7651000.0,-4410.58,36.0
93.0,513000.0,7651000.0,-4277.16,36.0
93.0,514000.0,7651000.0,-3943.05,36.0
93.0,515000.0,7651000.0,-3706.19,36.0
93.0,516000.0,7651000.0,-4507.7,36.0
93.0,517000.0,7651000.0,-6034.52,36.0
93.0,518000.0,7651000.0,-5918.32,36.0
93.0,519000.0,7651000.0,-4406.3,36.0
93.0,520000.0,7651000.0,-4816.54,36.0
93.0,521000.0,7651000.0,-6682.93,36.0
93.0,522000.0,7651000.0,-7310.82,36.0
93.0,523000.0,7651000.0,-7084.43,36.0
93.0,524000.0,7651000.0,-7176.31,36.0
93.0,525000.0,7651000.0,-7368.61,21.0
93.0,526000.0,7651000.0,-7161.57,21.0
93.0,527000.0,7651000.0,-6700.75,21.0
93.0,528000.0,7651000.0,-6412.0,21.0
93.0,529000.0,7651000.0,-6280.08,21.0
93.0,530000.0,7651000.0,-6336.46,21.0
93.0,531000.0,7651000.0,-6733.13,21.0
93.0,532000.0,7651000.0,-7098.01,21.0
93.0,533000.0,7651000.0,-7116.4,21.0
93.0,534000.0,7651000.0,-6888.84,21.0
93.0,535000.0,7651000.0,-6189.61,21.0
93.0,536000.0,7651000.0,-4770.46,21.0
93.0,537000.0,7651000.0,-3567.53,21.0
93.0,538000.0,7651000.0,-3458.93,21.0
93.0,539000.0,7651000.0,-3748.04,21.0
93.0,540000.0,7651000.0,-3770.22,21.0
93.0,541000.0,7651000.0,-3658.77,21.0
93.0,542000.0,7651000.0,-3554.1,42.0
93.0,543000.0,7651000.0,-3478.27,42.0
93.0,544000.0,7651000.0,-3399.37,42.0
93.0,545000.0,7651000.0,-3243.58,42.0
