,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
2081,145000.0,130000.0,-4474.0,0.6643857142857142,0.6572428571428571,0.5022657142857143,0.02825719048310011,-0.03260607799973712,0.9990687538220164,2.4728831229789057,139.08703217400742,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2082,150000.0,130000.0,-5371.0,0.6786714285714286,0.6572428571428571,0.4997028571428571,0.03296612416664176,-0.02741828995740195,0.999080313104628,2.4574852484081338,129.75067179520607,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2083,155000.0,130000.0,-5385.0,0.6929571428571428,0.6572428571428571,0.49966285714285713,-0.011563203590058822,-0.03173208325464978,0.9994295208843168,1.9354330541442035,200.0217920528255,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2084,160000.0,130000.0,-5222.0,0.7072428571428572,0.6572428571428571,0.5001285714285714,-0.01586635142518266,-0.03119695286522984,0.9993873168218501,2.005754543814724,206.95727750795274,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2085,165000.0,130000.0,-5153.0,0.7215285714285714,0.6572428571428571,0.5003257142857143,-0.035771313961093495,-0.03127639688155399,0.9988704621198907,2.723509647620648,228.83540287314028,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2086,170000.0,130000.0,-4886.0,0.7358142857142858,0.6572428571428571,0.5010885714285714,-0.04091984493695486,-0.024700308585098987,0.9988570773870186,2.739601626428801,238.88370019582783,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2087,175000.0,130000.0,-4722.0,0.7501,0.6572428571428571,0.5015571428571428,-0.017697558612544812,-0.02172680275073026,0.9996072941217398,1.6057781525463448,219.16452453217943,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2088,0.0,135000.0,-830.0,0.2501,0.6715285714285715,0.5126771428571428,0.02728161003584191,0.004118431531132519,0.9996193036729413,1.5810323361432108,81.41544904493196,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2089,5000.0,135000.0,-909.0,0.2643857142857143,0.6715285714285715,0.5124514285714286,0.02868801746256658,0.003441419715519435,0.9995824899848982,1.6557173145855937,83.15947577397044,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2090,10000.0,135000.0,-1125.0,0.27867142857142857,0.6715285714285715,0.5118342857142857,0.04076601132218878,0.0018841433804372976,0.9991669441712937,2.3388632923669714,87.35375891934986,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2091,15000.0,135000.0,-1284.0,0.2929571428571428,0.6715285714285715,0.51138,0.07260462941166226,-0.009417515706653995,0.9973163380722838,4.1985439677382805,97.39054800328057,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2092,20000.0,135000.0,-1792.0,0.30724285714285715,0.6715285714285715,0.5099285714285714,0.10461738024510567,-0.02696978212843871,0.9941467872515585,6.2022154381270855,104.45578675520841,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2093,25000.0,135000.0,-2380.0,0.3215285714285714,0.6715285714285715,0.5082485714285714,0.09278982798184092,-0.029686678710774378,0.9952430602271104,5.590797553096114,107.74127372084081,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2094,30000.0,135000.0,-2764.0,0.33581428571428573,0.6715285714285715,0.5071514285714286,0.061379004490547416,-0.012789074803256919,0.9980325933422345,3.5946443406819877,101.76988336027995,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2095,35000.0,135000.0,-2979.0,0.35009999999999997,0.6715285714285715,0.5065371428571428,0.035144520218081246,-0.004896914191524117,0.9993702431681871,2.0335126028235364,97.93232163849044,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2096,40000.0,135000.0,-3047.0,0.3643857142857143,0.6715285714285715,0.5063428571428571,0.028424823071894638,-0.0049122406985515794,0.9995838630773562,1.65299225035911,99.80473897196568,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2097,44999.0,135000.0,-3229.0,0.3786685714285714,0.6715285714285715,0.5058228571428571,0.04680046855527487,-0.007801409289106329,0.998873792906847,2.7194903783880493,99.46390788014995,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2098,50000.0,135000.0,-3695.0,0.39295714285714284,0.6715285714285715,0.5044914285714286,0.06557970356176909,-0.013697727633429364,0.9977533135692563,3.8414059542375623,101.79783493007479,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2099,55000.0,135000.0,-3978.0,0.40724285714285713,0.6715285714285715,0.5036828571428571,0.025128842589308482,-0.014993184728394535,0.9995717811552215,1.6768183462019806,120.82251716750937,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2100,60000.0,135000.0,-4051.0,0.4215285714285714,0.6715285714285715,0.5034742857142857,0.007899630895145171,-0.005571168262398945,0.9999532778664774,0.5538608327014201,125.19317888849153,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2101,65000.0,135000.0,-3961.0,0.4358142857142857,0.6715285714285715,0.5037314285714286,0.01394923032042655,0.0002905599501724877,0.9999026625369006,0.7994313303351377,88.80671181472648,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2102,70000.0,135000.0,-4233.0,0.4501,0.6715285714285715,0.5029542857142857,0.022336774268348084,-0.0006221975455719096,0.9997503095200816,1.2804058782764434,91.5955785262616,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2103,75000.0,135000.0,-4433.0,0.4643857142857143,0.6715285714285715,0.5023828571428571,0.004866580432728949,0.003428510676677928,0.999982280697729,0.3410841825698335,54.83526696561885,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2104,80000.0,135000.0,-4277.0,0.4786714285714286,0.6715285714285715,0.5028285714285714,0.028621188867261303,0.014848353891408888,0.9994800417889994,1.8477391908430858,62.58021865207827,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2105,85000.0,135000.0,-4666.0,0.49295714285714287,0.6715285714285715,0.5017171428571429,0.03858904136681054,-0.0011027153602081946,0.9992545571100613,2.212441523540978,91.63683120629945,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2106,89999.0,135000.0,-5112.0,0.50724,0.6715285714285715,0.5004428571428571,0.019221878613690603,-0.026313616686435573,0.9994689154543226,1.8674057194363132,143.85218166540292,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2107,95000.0,135000.0,-4610.0,0.5215285714285715,0.6715285714285715,0.5018771428571428,-0.0170254617267015,-0.00933157409263071,0.9998115099247189,1.1124709936829782,241.27306342283518,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2108,100000.0,135000.0,-3771.0,0.5358142857142857,0.6715285714285715,0.5042742857142857,0.017530548393835648,0.0032137751672566706,0.9998411631465198,1.0212193060638441,79.61164401973161,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2109,105000.0,135000.0,-4834.0,0.5501,0.6715285714285715,0.5012371428571428,0.05102605605860759,0.01401797943709405,0.9985989374396534,3.033312210492548,74.63855891684496,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2110,110000.0,135000.0,-5035.0,0.5643857142857143,0.6715285714285715,0.5006628571428572,0.018829994026658504,0.00012854863178755468,0.9998226916809826,1.0789680971520175,89.60885916182451,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
2111,115000.0,135000.0,-5128.0,0.5786714285714285,0.6715285714285715,0.5003971428571429,-0.037033523853284706,-0.003816567960202957,0.9993067356522787,2.1335958440182465,264.116034592078,1.0,mid_formation,Strat_Series_2,2.0,2.0,0.01
