x,y,z
2685.0,48184.40399169922,-7047.5
952.4650205299258,49580.0,-6862.5
2685.0,49580.0,-7008.005142211914
895.0,49450.655822753906,-6862.5
895.0,49580.0,-6857.694053649902
1778.3635494112968,51060.0,-6862.5
2685.0,51060.0,-6948.121356964111
895.0,51060.0,-6779.288673400879
2685.0,52509.9137878418,-6862.5
979.2661498486996,52540.0,-6677.5
2685.0,52540.0,-6860.757579803467
895.0,52417.210540771484,-6677.5
895.0,52540.0,-6668.441390991211
2071.993547677994,54020.0,-6677.5
2685.0,54020.0,-6751.7649269104
895.0,54020.0,-6533.837490081787
2685.0,54927.94418334961,-6677.5
1644.7127547860146,55500.0,-6492.5
2685.0,55500.0,-6631.361503601074
895.0,54446.067962646484,-6492.5
895.0,55500.0,-6391.107234954834
2488.7562388181686,56980.0,-6492.5
2685.0,56980.0,-6520.342025756836
895.0,56475.506896972656,-6307.5
1191.001475006342,56980.0,-6307.5
895.0,56980.0,-6264.983253479004
2685.0,57482.46627807617,-6492.5
1774.0927094221115,58460.0,-6307.5
2685.0,58460.0,-6439.530849456787
895.0,58460.0,-6178.06619644165
2026.0251641273499,59940.0,-6307.5
2685.0,59940.0,-6400.827808380127
895.0,59940.0,-6144.346237182617
1979.6676737070084,61420.0,-6307.5
2685.0,61420.0,-6400.522937774658
895.0,61420.0,-6162.6349449157715
1764.3347904086113,62900.0,-6307.5
2685.0,62900.0,-6416.707191467285
895.0,62900.0,-6203.639335632324
1633.1615513563156,64380.0,-6307.5
2685.0,64380.0,-6419.444675445557
895.0,64380.0,-6228.493347167969
1877.147775888443,65860.0,-6307.5
2685.0,65860.0,-6387.9230308532715
895.0,65860.0,-6209.397296905518
2520.0350111722946,67340.0,-6307.5
2685.0,67340.0,-6323.642616271973
895.0,67340.0,-6148.193111419678
2685.0,67664.9186706543,-6307.5
1371.2323468923569,68820.0,-6122.5
2685.0,68820.0,-6251.439094543457
895.0,67856.46774291992,-6122.5
895.0,68820.0,-6075.566864013672
1894.4694864749908,70300.0,-6122.5
2685.0,70300.0,-6197.605438232422
895.0,70300.0,-6027.021865844727
2079.203600883484,71780.0,-6122.5
2685.0,71780.0,-6174.763431549072
895.0,71780.0,-6020.3923416137695
2030.425688624382,73260.0,-6122.5
2685.0,73260.0,-6171.776123046875
895.0,73260.0,-6037.4396896362305
2043.5746628046036,74740.0,-6122.5
2685.0,74740.0,-6164.462051391602
895.0,74740.0,-6047.782001495361
2485.8123844861984,76220.0,-6122.5
2685.0,76220.0,-6134.171180725098
895.0,76220.0,-6030.188426971436
2685.0,76537.84454345703,-6122.5
2685.0,77700.0,-6081.054534912109
895.0,77700.0,-5984.245414733887
1094.9607613682747,79180.0,-5937.5
