#X,Y,Z,attr 
 40800.000,102472.356, -1075.510,     0.871
 40800.000, 67445.654,  -685.204,     0.951
 40800.000, 46694.869,  -563.776,     0.509
 40800.000,103954.555, -1078.401,     0.699
 40800.000, 51141.466,  -537.755,     0.420
 40800.000, 72594.346,  -763.265,     0.704
 40800.000,103408.482, -1139.116,     0.967
 40800.000, 74700.628,  -792.177,     0.737
 40800.000, 95451.414, -1014.796,     0.871
 40800.000,104656.649, -1124.660,     0.812
 40800.000,101770.262, -1075.510,     0.763
 40800.000,106216.859, -1066.837,     0.725
 40800.000, 83593.822,  -786.395,     0.302
 40800.000, 70566.073,  -717.007,     0.803
 40800.000, 51843.560,  -569.558,     0.984
 40800.000, 71190.157,  -685.204,     0.980
 40800.000,113627.853, -1078.401,     0.914
 40800.000,106060.838, -1191.156,     0.865
 40800.000,107777.068, -1179.592,     0.794
 40800.000, 97323.665, -1098.639,     0.905
 40800.000,114095.916, -1043.707,     0.814
 40800.000, 94203.246, -1087.075,     0.955
 40800.000,100912.147, -1069.728,     0.634
 40800.000, 77743.037,  -855.782,     0.945
 40800.000, 55510.052,  -546.429,     0.870
 40800.000, 96621.571,  -997.449,     0.941
 40800.000, 70410.052,  -696.769,     0.952
 40800.000, 81487.539,  -867.347,     0.898
 40800.000,104110.576, -1035.034,     0.924
 40800.000, 54729.948,  -621.599,     0.918
 40800.000,111677.592,  -994.558,     0.698
 40800.000,112535.707,  -965.646,     0.790
 40800.000, 67211.623,  -676.531,     0.910
 40800.000, 94203.246, -1069.728,     0.763
 40800.000, 87416.335,  -823.980,     0.517
 40800.000, 83125.759,  -852.891,     0.510
 40800.000,106294.869, -1058.163,     0.910
 40800.000, 71658.220,  -708.333,     0.524
 40800.000, 92799.058,  -997.449,     0.980
 40800.000, 47006.911,  -529.082,     0.882
 40800.000, 68225.759,  -641.837,     0.840
 40800.000,103720.524, -1150.680,     0.925
 40800.000, 82657.696,  -910.714,     0.746
 40800.000, 97869.738,  -896.259,     0.656
 40800.000, 98649.843,  -916.497,     0.974
 40800.000, 66431.518,  -688.095,     0.679
 40800.000, 75012.670,  -858.673,     0.671
 40800.000, 94749.319, -1009.014,     0.886
 40800.000,104032.565, -1035.034,     0.964
 40800.000,109649.319, -1058.163,     0.971
 40800.000, 77196.963,  -818.197,     0.824
 40800.000,111131.518, -1199.830,     0.898
 40800.000,105748.796, -1139.116,     0.908
 40800.000, 93423.141,  -896.259,     0.811
 40800.000, 98571.832, -1075.510,     0.863
 40800.000, 89834.660, -1066.837,     0.959
 40800.000,111911.623, -1000.340,     0.707
 40800.000,101380.209, -1055.272,     0.576
 40800.000, 95529.424, -1101.531,     0.958
 40800.000, 97791.728,  -910.714,     0.833
 40800.000,112769.738, -1000.340,     0.631
 40800.000, 93345.131, -1023.469,     0.567
 40800.000,104266.597,  -936.735,     0.944
 40800.000, 88430.471, -1101.531,     0.976
 40800.000, 68537.801,  -624.490,     0.157
 40800.000, 97479.686, -1084.184,     0.793
 40800.000, 45368.691,  -462.585,     0.787
 40800.000, 78055.079,  -841.327,     0.612
 40800.000, 98337.801, -1144.898,     0.682
 40800.000, 55354.031,  -584.014,     0.724
 40800.000, 51921.571,  -604.252,     0.711
 40800.000,113081.780, -1095.748,     0.503
 40800.000, 62843.037,  -647.619,     0.846
 40800.000,100756.126,  -951.190,     0.849
 40800.000, 53403.770,  -560.884,     0.546
 40800.000, 84685.969, -1029.252,     0.737
 40800.000,106528.901,  -948.299,     0.882
 40800.000, 74934.660,  -873.129,     0.782
 40800.000, 88820.524,  -945.408,     0.758
 40800.000, 63545.131,  -696.769,     0.855
 40800.000, 63311.099,  -627.381,     0.600
 40800.000, 67601.675,  -722.789,     0.902
 40800.000, 80863.455,  -956.973,     0.769
 40800.000,110663.455, -1159.354,     0.941
 40800.000, 69785.969,  -743.027,     0.851
 40800.000,109805.340, -1222.959,     0.741
 40800.000, 89522.618, -1003.231,     0.828
 40800.000, 84920.000,  -988.776,     0.903
 40800.000, 81253.508,  -919.388,     0.689
 40800.000, 98649.843, -1052.381,     0.671
 40800.000, 83281.780,  -829.762,     0.814
 40800.000, 94515.288,  -887.585,     0.961
 40800.000,103798.534, -1035.034,     0.762
 40800.000, 55354.031,  -537.755,     0.637
 40800.000, 93423.141, -1037.925,     0.843
 40800.000, 99898.010,  -948.299,     0.491
 40800.000, 99039.895, -1009.014,     0.878
 40800.000,112457.696, -1147.789,     0.908
 40800.000, 75558.743,  -783.503,     0.486
 40800.000,107387.016, -1113.095,     0.671
 40800.000,107074.974, -1075.510,     0.894
 40800.000,100444.084,  -945.408,     0.920
 40800.000, 91238.848, -1084.184,     0.833
 40800.000, 99585.969, -1069.728,     0.712
 40800.000, 99898.010, -1118.878,     0.919
 40800.000,104110.576, -1066.837,     0.921
 40800.000, 92487.016, -1003.231,     0.980
