X,Y,Z,formation,,
2000,11250,-7650,TOP_CAMBORIU,,
2000,12500,-7750,TOP_CAMBORIU,,
2000,13750,-7850,TOP_CAMBORIU,,
2000,15000,-8050,TOP_CAMBORIU,,
2000,16250,-8150,TOP_CAMBORIU,,
2000,17500,-8450,TOP_CAMBORIU,,
2000,18750,-8650,TOP_CAMBORIU,,
2000,20000,-9050,TOP_CAMBORIU,,
2000,0,-11000,BOT_CAMBORIU,,
2000,1250,-11000,BOT_CAMBORIU,,
2000,2500,-11000,BOT_CAMBORIU,,
2000,3750,-11000,BOT_CAMBORIU,,
2000,5000,-11000,BOT_CAMBORIU,,
2000,6250,-11000,BOT_CAMBORIU,,
2000,7500,-11000,BOT_CAMBORIU,,
2000,8750,-11000,BOT_CAMBORIU,,
2000,10000,-11000,BOT_CAMBORIU,,
2000,11250,-11000,BOT_CAMBORIU,,
2000,12500,-11000,BOT_CAMBORIU,,
2000,13750,-11000,BOT_CAMBORIU,,
2000,15000,-11000,BOT_CAMBORIU,,
2000,16250,-11000,BOT_CAMBORIU,,
2000,17500,-11000,BOT_CAMBORIU,,
2000,18750,-11000,BOT_CAMBORIU,,
2000,20000,-11000,BOT_CAMBORIU,,
