#X,Y,Z,attr 
 29355.280, 60500.000,  -595.578,     0.717
 54080.745, 60500.000,  -702.551,     0.953
 23551.553, 60500.000,  -644.728,     0.822
 27924.224, 60500.000,  -679.422,     0.727
 29514.286, 60500.000,  -667.857,     0.539
 52570.186, 60500.000,  -757.483,     0.624
 46527.950, 60500.000,  -702.551,     0.808
 21722.981, 60500.000,  -595.578,     0.936
 55273.292, 60500.000,  -774.830,     0.432
 10513.043, 60500.000,  -644.728,     0.630
 10115.528, 60500.000,  -598.469,     0.898
 59804.969, 60500.000,  -705.442,     0.950
 49549.068, 60500.000,  -696.769,     0.820
 10751.553, 60500.000,  -644.728,     0.592
 13295.652, 60500.000,  -578.231,     0.588
 15919.255, 60500.000,  -595.578,     0.877
 13454.658, 60500.000,  -595.578,     0.814
 40008.696, 60500.000,  -714.116,     0.844
 47561.491, 60500.000,  -734.354,     0.935
 21722.981, 60500.000,  -601.361,     0.941
  9638.509, 60500.000,  -615.816,     0.801
 55591.304, 60500.000,  -751.701,     0.949
  9638.509, 60500.000,  -560.884,     0.867
 46130.435, 60500.000,  -673.639,     0.662
 21245.963, 60500.000,  -615.816,     0.647
 55034.783, 60500.000,  -702.551,     0.881
 33330.435, 60500.000,  -696.769,     0.503
 34363.975, 60500.000,  -676.531,     0.501
 54239.752, 60500.000,  -725.680,     0.886
 20530.435, 60500.000,  -604.252,     0.943
 57419.876, 60500.000,  -708.333,     0.885
 41598.758, 60500.000,  -676.531,     0.806
 57658.385, 60500.000,  -690.986,     0.861
 53206.211, 60500.000,  -766.156,     0.448
 26572.671, 60500.000,  -592.687,     0.481
 20053.416, 60500.000,  -644.728,     0.849
 60361.491, 60500.000,  -751.701,     0.868
 32773.913, 60500.000,  -638.946,     0.933
 28719.255, 60500.000,  -659.184,     0.898
 12500.621, 60500.000,  -549.320,     0.739
 50582.609, 60500.000,  -731.463,     0.692
 47879.503, 60500.000,  -743.027,     0.714
 54478.261, 60500.000,  -757.483,     0.925
 42234.783, 60500.000,  -667.857,     0.926
 49867.081, 60500.000,  -690.986,     0.589
 53126.708, 60500.000,  -719.898,     0.681
 13772.671, 60500.000,  -647.619,     0.463
 38895.652, 60500.000,  -688.095,     0.661
 20530.435, 60500.000,  -589.796,     0.879
 58294.410, 60500.000,  -763.265,     0.749
 10195.031, 60500.000,  -563.776,     0.904
 24346.584, 60500.000,  -592.687,     0.711
 56465.839, 60500.000,  -690.986,     0.871
 29514.286, 60500.000,  -592.687,     0.793
 44063.354, 60500.000,  -679.422,     0.855
 22359.006, 60500.000,  -653.401,     0.482
 36510.559, 60500.000,  -647.619,     0.910
 26334.161, 60500.000,  -662.075,     0.549
 41996.273, 60500.000,  -717.007,     0.906
 31024.845, 60500.000,  -647.619,     0.966
 19894.410, 60500.000,  -659.184,     0.508
 11069.565, 60500.000,  -578.231,     0.574
 24346.584, 60500.000,  -598.469,     0.775
 22518.012, 60500.000,  -664.966,     0.806
 48913.043, 60500.000,  -737.245,     0.918
 13534.161, 60500.000,  -546.429,     0.744
 21722.981, 60500.000,  -581.122,     0.578
 35318.012, 60500.000,  -685.204,     0.509
 18860.870, 60500.000,  -653.401,     0.537
 53444.720, 60500.000,  -690.986,     0.922
 51934.161, 60500.000,  -743.027,     0.902
 51695.652, 60500.000,  -714.116,     0.684
 17111.801, 60500.000,  -636.054,     0.923
 15521.739, 60500.000,  -653.401,     0.604
 29673.292, 60500.000,  -650.510,     0.846
 32932.919, 60500.000,  -673.639,     0.544
 50582.609, 60500.000,  -737.245,     0.925
 45255.901, 60500.000,  -696.769,     0.821
 38339.130, 60500.000,  -673.639,     0.716
 42155.280, 60500.000,  -717.007,     0.896
 28480.745, 60500.000,  -601.361,     0.672
 13216.149, 60500.000,  -555.102,     0.922
 19417.391, 60500.000,  -607.143,     0.628
 21802.484, 60500.000,  -592.687,     0.990
 54796.273, 60500.000,  -719.898,     0.805
 27367.702, 60500.000,  -630.272,     0.875
 32535.404, 60500.000,  -610.034,     0.541
 25221.118, 60500.000,  -653.401,     0.486
 34443.478, 60500.000,  -636.054,     0.891
 51298.137, 60500.000,  -685.204,     0.545
 19417.391, 60500.000,  -586.905,     0.735
 53762.733, 60500.000,  -745.918,     0.918
 45573.913, 60500.000,  -685.204,     0.780
 17827.329, 60500.000,  -647.619,     0.573
 49072.050, 60500.000,  -745.918,     0.613
 30309.317, 60500.000,  -673.639,     0.927
 15998.758, 60500.000,  -653.401,     0.786
 33250.932, 60500.000,  -621.599,     0.531
 12898.137, 60500.000,  -601.361,     0.793
 39531.677, 60500.000,  -662.075,     0.957
 40962.733, 60500.000,  -717.007,     0.858
 15283.230, 60500.000,  -575.340,     0.666
 28242.236, 60500.000,  -607.143,     0.690
 20053.416, 60500.000,  -641.837,     0.697
 29196.273, 60500.000,  -589.796,     0.426
 24426.087, 60500.000,  -621.599,     0.949
 59009.938, 60500.000,  -769.048,     0.929
 47163.975, 60500.000,  -734.354,     0.962
 12262.112, 60500.000,  -557.993,     0.877
 24903.106, 60500.000,  -621.599,     0.602
 13693.168, 60500.000,  -572.449,     0.863
 52570.186, 60500.000,  -725.680,     0.493
 15998.758, 60500.000,  -589.796,     0.895
 55352.795, 60500.000,  -682.313,     0.271
 50821.118, 60500.000,  -740.136,     0.902
 57101.863, 60500.000,  -699.660,     0.890
 28083.230, 60500.000,  -685.204,     0.577
 11944.099, 60500.000,  -636.054,     0.896
 57737.888, 60500.000,  -702.551,     0.949
 55909.317, 60500.000,  -760.374,     0.929
 42711.801, 60500.000,  -714.116,     0.604
 37385.093, 60500.000,  -679.422,     0.603
 29991.304, 60500.000,  -659.184,     0.812
 18304.348, 60500.000,  -610.034,     0.903
 27129.193, 60500.000,  -604.252,     0.511
 53921.739, 60500.000,  -722.789,     0.921
 25857.143, 60500.000,  -667.857,     0.417
 13216.149, 60500.000,  -612.925,     0.778
 13852.174, 60500.000,  -572.449,     0.769
 10115.528, 60500.000,  -630.272,     0.981
 18224.845, 60500.000,  -659.184,     0.911
 25936.646, 60500.000,  -644.728,     0.953
 38895.652, 60500.000,  -699.660,     0.588
 25300.621, 60500.000,  -601.361,     0.902
 34761.491, 60500.000,  -702.551,     0.878
 59725.466, 60500.000,  -702.551,     0.932
 16316.770, 60500.000,  -572.449,     0.856
 17032.298, 60500.000,  -601.361,     0.820
 21404.969, 60500.000,  -659.184,     0.424
 18781.366, 60500.000,  -621.599,     0.851
 48992.547, 60500.000,  -719.898,     0.424
 22836.025, 60500.000,  -592.687,     0.766
 41360.248, 60500.000,  -688.095,     0.880
 21643.478, 60500.000,  -662.075,     0.636
 13454.658, 60500.000,  -581.122,     0.779
 33966.460, 60500.000,  -685.204,     0.844
 38816.149, 60500.000,  -719.898,     0.680
 20212.422, 60500.000,  -662.075,     0.594
 46130.435, 60500.000,  -693.878,     0.962
 16078.261, 60500.000,  -589.796,     0.901
 22677.019, 60500.000,  -679.422,     0.644
 60043.478, 60500.000,  -751.701,     0.888
 60122.981, 60500.000,  -705.442,     0.973
 20291.925, 60500.000,  -586.905,     0.883
 24982.609, 60500.000,  -630.272,     0.781
 55988.820, 60500.000,  -734.354,     0.575
 40167.702, 60500.000,  -659.184,     0.223
 12182.609, 60500.000,  -612.925,     0.522
 48913.043, 60500.000,  -702.551,     0.882
 23790.062, 60500.000,  -604.252,     0.955
 31501.863, 60500.000,  -650.510,     0.776
 32058.385, 60500.000,  -604.252,     0.770
 26175.155, 60500.000,  -572.449,     0.102
 27288.199, 60500.000,  -584.014,     0.939
 18383.851, 60500.000,  -581.122,     0.917
 26095.652, 60500.000,  -598.469,     0.649
 43029.814, 60500.000,  -685.204,     0.609
 38816.149, 60500.000,  -679.422,     0.915
 36113.043, 60500.000,  -636.054,     0.106
 24267.081, 60500.000,  -598.469,     0.805
 25777.640, 60500.000,  -685.204,     0.862
 19019.876, 60500.000,  -598.469,     0.663
 45494.410, 60500.000,  -673.639,     0.761
 37544.099, 60500.000,  -673.639,     0.921
 12262.112, 60500.000,  -589.796,     0.662
 55034.783, 60500.000,  -722.789,     0.977
 22995.031, 60500.000,  -610.034,     0.845
 16952.795, 60500.000,  -630.272,     0.917
  9559.006, 60500.000,  -601.361,     0.831
 14885.714, 60500.000,  -584.014,     0.805
 14567.702, 60500.000,  -586.905,     0.866
 50026.087, 60500.000,  -699.660,     0.810
 46766.460, 60500.000,  -731.463,     0.924
 15919.255, 60500.000,  -662.075,     0.518
 39531.677, 60500.000,  -670.748,     0.859
 54398.758, 60500.000,  -748.810,     0.832
 20450.932, 60500.000,  -581.122,     0.510
 19099.379, 60500.000,  -624.490,     0.701
 55273.292, 60500.000,  -688.095,     0.925
 10592.547, 60500.000,  -549.320,     0.760
 32932.919, 60500.000,  -679.422,     0.847
 51457.143, 60500.000,  -748.810,     0.554
 51059.627, 60500.000,  -737.245,     0.953
 24505.590, 60500.000,  -638.946,     0.843
 16475.776, 60500.000,  -584.014,     0.791
 17509.317, 60500.000,  -659.184,     0.886
 26890.683, 60500.000,  -575.340,     0.118
 54796.273, 60500.000,  -774.830,     0.345
 20371.429, 60500.000,  -676.531,     0.700
 34204.969, 60500.000,  -664.966,     0.787
 29911.801, 60500.000,  -615.816,     0.824
 53047.205, 60500.000,  -763.265,     0.501
 12262.112, 60500.000,  -540.646,     0.588
 25300.621, 60500.000,  -584.014,     0.717
 29514.286, 60500.000,  -630.272,     0.863
 43983.851, 60500.000,  -731.463,     0.868
 20291.925, 60500.000,  -610.034,     0.745
 35000.000, 60500.000,  -647.619,     0.883
 59804.969, 60500.000,  -757.483,     0.480
 16952.795, 60500.000,  -560.884,     0.439
 35079.503, 60500.000,  -673.639,     0.813
 29752.795, 60500.000,  -601.361,     0.628
 34045.963, 60500.000,  -630.272,     0.580
 24744.099, 60500.000,  -659.184,     0.541
 18304.348, 60500.000,  -656.293,     0.924
 50900.621, 60500.000,  -743.027,     0.942
 60122.981, 60500.000,  -743.027,     0.889
 14170.186, 60500.000,  -647.619,     0.595
 14249.689, 60500.000,  -644.728,     0.930
 31422.360, 60500.000,  -682.313,     0.865
 11228.571, 60500.000,  -566.667,     0.887
 38736.646, 60500.000,  -690.986,     0.876
 10274.534, 60500.000,  -650.510,     0.051
 28560.248, 60500.000,  -618.707,     0.859
 12898.137, 60500.000,  -549.320,     0.613
